No.,Estado,Clave.GASIR,SMN.No,GASIR.No,Nombre_estación, Longitud(Grados_decimales) , Latitud(Grados_decimales) ,Longitud ,Latitud ,Superficie(ha) ,Cultivo,Riesgo,Trigger.1,Inicio,Final,Trigger.2A,Trigger.2B,Inicio,Final,Trigger.3A,Trigger.3B,Inicio,Final,Cuota_(%)_2016,Suma_Asegurada($/ha),SumaAsegurada_TOTAL($),PrimaTotal_($),Foli,edo2,clave,cultivo,Acumulado
1,Durango,JLPSI,25183,12542,Presa José López Portillo,-106.80778,24.57139,-1064828,243417,1000,Avena,S-EH,70,15/06/2016,31/07/2016,80,800,01/08/2016,15/09/2016,40,600,16/09/2016,31/10/2016,24.30%,1500,1500000,364500,1,Durango,12542,Avena,1000
2,Durango,SRDDR,10078,21002,Sardinas,-105.568866,26.088173,-1053408,260517,1500,Avena,S-EH,45,15/06/2016,31/07/2016,60,500,01/08/2016,15/09/2016,35,500,16/09/2016,31/10/2016,24.30%,1500,2250000,546750,1,Durango,21002,Avena,1500
3,Durango,SMODR,10075,21004,Santa Maria del Oro,-105.36666,25.953333,-1052160,255712,1532,Avena,S-EH,60,15/06/2016,31/07/2016,50,450,01/08/2016,15/09/2016,35,300,16/09/2016,31/10/2016,24.30%,1500,2298000,558414,1,Durango,21004,Avena,1532
4,Durango,SPPDR,10100,21005,Santiago Papasquiaro,-105.42222,25.0375,-1052520,250215,3000,Avena,S-EH,70,15/06/2016,31/07/2016,70,450,01/08/2016,15/09/2016,30,300,16/09/2016,31/10/2016,24.30%,1500,4500000,1093500,1,Durango,21005,Avena,3000
5,Durango,SACDR,10035,21006,Salome Acosta,-105.446904,25.224251,-1052649,251327,3662,Avena,S-EH,45,15/06/2016,31/07/2016,70,450,01/08/2016,15/09/2016,30,300,16/09/2016,31/10/2016,24.30%,1500,5493000,1334799,1,Durango,21006,Avena,3662
6,Durango,TMZDR,10082,21040,Tamazula,-106.968173,24.971479,-1065805,245817,3235,Avena,S-EH,70,15/06/2016,31/07/2016,80,600,01/08/2016,15/09/2016,40,400,16/09/2016,31/10/2016,24.30%,1500,4852500,1179157.5,1,Durango,21040,Avena,3235
7,Durango,TDRDR,10031,21041,Huahuapan,-105.95167,24.52278,-1055706,243122,2336,Avena,S-EH,70,15/06/2016,31/07/2016,80,650,01/08/2016,15/09/2016,35,300,16/09/2016,31/10/2016,24.30%,1500,3504000,851472,1,Durango,21041,Avena,2336
8,Durango,CNTDR,10090,21044,Canatlan,-104.751957,24.524629,-1044507,243129,1207,Avena,S-EH,70,15/06/2016,31/07/2016,80,450,01/08/2016,15/09/2016,30,300,16/09/2016,31/10/2016,24.30%,1500,1810500,439951.5,1,Durango,21044,Avena,1207
9,Durango,GVCDR,10023,21049,Presa Guadalupe Victoria,-104.75194,23.96028,-1044507,235737,2045,Avena,S-EH,60,15/06/2016,31/07/2016,80,450,01/08/2016,15/09/2016,35,600,16/09/2016,31/10/2016,24.30%,1500,3067500,745402.5,1,Durango,21049,Avena,2045
10,Durango,GNCDR,10094,21050,Guanaceví,-105.955556,25.934722,-1055720,255605,1700,Avena,S-EH,60,15/06/2016,31/07/2016,65,560,01/08/2016,15/09/2016,40,270,16/09/2016,31/10/2016,24.30%,1500,2550000,619650,1,Durango,21050,Avena,1700
11,Durango,JLPSI,25183,12542,Presa José López Portillo,-106.80778,24.57139,-1064828,243417,5069.69,Maíz,S-EH,30,10/06/2016,20/07/2016,65,520,21/07/2016,03/09/2016,32,747,04/09/2016,31/10/2016,24.30%,1500,7604535,1847902.01,1,Durango,12542,Maíz,5069.69
12,Durango,SRDDR,10078,21002,Sardinas,-105.568866,26.088173,-1053408,260517,1493,Maíz,S-EH,30,10/06/2016,20/07/2016,55,500,21/07/2016,03/09/2016,35,600,04/09/2016,31/10/2016,24.30%,1500,2239500,544198.5,1,Durango,21002,Maíz,1493
13,Durango,SPPDR,10100,21005,Santiago Papasquiaro,-105.42222,25.0375,-1052520,250215,7123.06,Maíz,S-EH,30,10/06/2016,20/07/2016,55,434,21/07/2016,03/09/2016,32,619,04/09/2016,31/10/2016,24.30%,1500,10684590,2596355.37,1,Durango,21005,Maíz,7123.06
14,Durango,SACDR,10035,21006,Salome Acosta,-105.446904,25.224251,-1052649,251327,7937,Maíz,S-EH,30,10/06/2016,20/07/2016,55,434,21/07/2016,03/09/2016,32,620,04/09/2016,31/10/2016,24.30%,1500,11905500,2893036.5,1,Durango,21006,Maíz,7937
15,Durango,TMZDR,10082,21040,Tamazula,-106.968173,24.971479,-1065805,245817,6440,Maíz,S-EH,30,10/06/2016,20/07/2016,65,520,21/07/2016,03/09/2016,32,747,04/09/2016,31/10/2016,24.30%,1500,9660000,2347380,1,Durango,21040,Maíz,6440
16,Durango,TDRDR,10031,21041,Huahuapan,-105.95167,24.52278,-1055706,243122,11200,Maíz,S-EH,30,10/06/2016,20/07/2016,70,434,21/07/2016,03/09/2016,32,619,04/09/2016,31/10/2016,24.30%,1500,16800000,4082400,1,Durango,21041,Maíz,11200
17,Durango,CNTDR,10090,21044,Canatlan,-104.751957,24.524629,-1044507,243129,5751,Maíz,S-EH,30,10/06/2016,20/07/2016,55,434,21/07/2016,03/09/2016,32,619,04/09/2016,31/10/2016,24.30%,1500,8626500,2096239.5,1,Durango,21044,Maíz,5751
18,Durango,GVCDR,10023,21049,Presa Guadalupe Victoria,-104.75194,23.96028,-1044507,235737,5950.73,Maíz,S-EH,30,10/06/2016,20/07/2016,55,400,21/07/2016,03/09/2016,33,413,04/09/2016,31/10/2016,24.30%,1500,8926095,2169041.09,1,Durango,21049,Maíz,5950.73
19,Durango,GNCDR,10094,21050,Guanaceví,-105.955556,25.934722,-1055720,255605,1476,Maíz,S-EH,35,10/06/2016,20/07/2016,60,600,21/07/2016,03/09/2016,32,600,04/09/2016,31/10/2016,24.30%,1500,2214000,538002,1,Durango,21050,Maíz,1476
20,Guanajuato,CSRGJ,11011,41115,Cinco Señores,-100.775452,20.890759,-1004632,205327,700,Frijol,S-EH,43,01/06/2016,15/07/2016,85,368,16/07/2016,31/08/2016,28,338,01/09/2016,15/10/2016,22.25%,1500,1050000,233625,1,Guanajuato,41115,Frijol,700
21,Guanajuato,IALGJ,11033,41124,Ignacio Allende,-100.825774,20.848033,-1004933,205053,500,Frijol,S-EH,43,01/06/2016,15/07/2016,85,368,16/07/2016,31/08/2016,28,338,01/09/2016,15/10/2016,22.25%,1500,750000,166875,1,Guanajuato,41124,Frijol,500
22,Guanajuato,CSTGJ,11040,41134,Los Castillos,-101.666667,21.2,-1014003,211143,1800,Frijol,S-EH,43,01/06/2016,15/07/2016,85,368,16/07/2016,31/08/2016,28,338,01/09/2016,15/10/2016,22.25%,1500,2700000,600750,1,Guanajuato,41134,Frijol,1800
23,Guanajuato,OCMGJ,11050,41138,Ocampo,-101.516667,21.633333,-1012847,213908,1700,Frijol,S-EH,43,01/06/2016,15/07/2016,85,368,16/07/2016,31/08/2016,28,338,01/09/2016,15/10/2016,22.25%,1500,2550000,567375,1,Guanajuato,41138,Frijol,1700
24,Guanajuato,PNLGJ,11051,41140,Peñuelitas,-100.875833,21.104444,-1005233,210616,1250,Frijol,S-EH,43,01/06/2016,15/07/2016,85,368,16/07/2016,31/08/2016,28,338,01/09/2016,15/10/2016,22.25%,1500,1875000,417187.5,1,Guanajuato,41140,Frijol,1250
25,Guanajuato,SLPGJ,11068,41150,San Luis de la Paz,-100.516667,21.3,-1003100,211800,1150,Frijol,S-EH,43,01/06/2016,15/07/2016,85,368,16/07/2016,31/08/2016,28,338,01/09/2016,15/10/2016,22.25%,1500,1725000,383812.5,1,Guanajuato,41150,Frijol,1150
26,Guanajuato,GTOGJ,11094,41155,Guanajuato,-101.265,21.012222,-1011554,210044,2000,Frijol,S-EH,43,01/06/2016,15/07/2016,85,368,16/07/2016,31/08/2016,28,338,01/09/2016,15/10/2016,22.25%,1500,3000000,667500,1,Guanajuato,41155,Frijol,2000
27,Guanajuato,PDLGJ,11017,41157,Puente Dolores,-100.9,21.1,-1005400,210600,1250,Frijol,S-EH,43,01/06/2016,15/07/2016,85,368,16/07/2016,31/08/2016,28,338,01/09/2016,15/10/2016,22.25%,1500,1875000,417187.5,1,Guanajuato,41157,Frijol,1250
28,Guanajuato,XICGJ,11083,41192,Xichu,-100.0925,21.298889,-1000533,211756,901.5,Frijol,S-EH,35,01/06/2016,15/07/2016,60,368,16/07/2016,31/08/2016,28,338,01/09/2016,15/10/2016,22.25%,1500,1352250,300875.63,1,Guanajuato,41192,Frijol,901.5
29,Guanajuato,CRTJL,14392,41413,El Cuarenta,-101.741131,21.500085,-1014428,213000,1500,Frijol,S-EH,43,01/06/2016,15/07/2016,85,368,16/07/2016,31/08/2016,28,338,01/09/2016,15/10/2016,22.25%,1500,2250000,500625,1,Guanajuato,41413,Frijol,1500
30,Guanajuato,JRQQT,22045,42208,Juriquilla,-100.45,20.7,-1002700,204200,200,Frijol,S-EH,43,01/06/2016,15/07/2016,85,368,16/07/2016,31/08/2016,28,338,01/09/2016,15/10/2016,22.25%,1500,300000,66750,1,Guanajuato,42208,Frijol,200
31,Guanajuato,CSRGJ,11011,41115,Cinco Señores,-100.775452,20.890759,-1004632,205327,2250,Maíz,S-EH,43,15/05/2016,05/07/2016,75,414,06/07/2016,20/08/2016,71,360,21/08/2016,21/10/2016,22.25%,1500,3375000,750937.5,1,Guanajuato,41115,Maíz,2250
32,Guanajuato,ECHGJ,11124,41121,El Chapín,-101.227674,20.891522,-1011340,205329,1600,Maíz,S-EH,43,15/05/2016,05/07/2016,80,414,06/07/2016,20/08/2016,60,360,21/08/2016,21/10/2016,22.25%,1500,2400000,534000,1,Guanajuato,41121,Maíz,1600
